thread_id,text,tag
1611,"Let $ S$ be the set of all real numbers strictly greater than −1. Find all functions $ f: S \to S$ satisfying the two conditions:
(a) $ f(x + f(y) + xf(y)) = y + f(x) + yf(x)$ for all $ x, y$ in $ S$;
(b) $ \frac {f(x)}{x}$ is strictly increasing on each of the two intervals $ - 1 &lt; x &lt; 0$ and $ 0 &lt; x$.",['algebra']
1981,An infinite arithmetic progression whose terms are positive integers contains the square of an integer and the cube of an integer. Show that it contains the sixth power of an integer.,['number theory']
2404,"Let $h_a$, $h_b$ and $h_c$ be the heights and $r$ the inradius of a triangle.
Prove that the triangle is equilateral if and only if $h_a + h_b + h_c = 9r$.",['geometry']
2406,"Provided the equation $xyz = p^n(x + y + z)$ where $p \geq 3$ is a prime and $n \in \mathbb{N}$. Prove that the equation has at least $3n + 3$ different solutions $(x,y,z)$ with natural numbers $x,y,z$ and $x &lt; y &lt; z$. Prove the same for $p &gt; 3$ being an odd integer.","['algebra', 'number theory']"
2574,Given two triangles and such that the lengths of the sides of the first triangle are the lengths of the medians of the second triangle. Determine the ratio of the areas of these triangles.,['geometry']
2578,"Given a cube in which you can put two massive spheres of radius 1.
What's the smallest possible value of the side - length of the cube?
Prove that your answer is the best possible.","['algebra', 'geometry']"
2581,"A word of length $n$ that consists only of the digits $0$ and $1$, is called a bit-string of length $n$. (For example, $000$ and $01101$ are bit-strings of length 3 and 5.) Consider the sequence $s(1), s(2), ...$ of bit-strings of length $n &gt; 1$ which is obtained as follows :
(1) $s(1)$ is the bit-string $00...01$, consisting of $n - 1$ zeros and a $1$ ;
(2) $s(k+1)$ is obtained as follows :
(a) Remove the digit on the left of $s(k)$. This gives a bit-string $t$ of length $n - 1$.
(b) Examine whether the bit-string $t1$ (length $n$, adding a $1$ after $t$) is already in $\{s(1), s(2), ..., s(k)\}$. If this is the not case, then $s(k+1) = t1$. If this is the case then $s(k+1) = t0$.
For example, if $n = 3$ we get :
$s(1) = 001 \rightarrow s(2) = 011 \rightarrow s(3) = 111 \rightarrow s(4) = 110 \rightarrow s(5) = 101$
$\rightarrow s(6) = 010 \rightarrow s(7) = 100 \rightarrow s(8) = 000 \rightarrow s(9) = 001 \rightarrow ...$
Suppose $N = 2^n$.
Prove that the bit-strings $s(1), s(2), ..., s(N)$ of length $n$ are all different.",['algebra']
2583,"Thirteen birds arrive and sit down in a plane. It's known that from each 5-tuple of birds, at least four birds sit on a circle. Determine the greatest $M \in \{1, 2, ..., 13\}$ such that from these 13 birds, at least $M$ birds sit on a circle, but not necessarily $M + 1$ birds sit on a circle. (prove that your $M$ is optimal)","['algebra', 'geometry']"
3192,"Determine all positive integers which cannot be represented as $\frac{a}{b}+\frac{a+1}{b+1}$ with $a,b$ being positive integers.",['number theory']
3459,"Let $ P$ be a point inside a triangle $ ABC$ such that
\[ \angle APB - \angle ACB = \angle APC - \angle ABC.
\]
Let $ D$, $ E$ be the incenters of triangles $ APB$, $ APC$, respectively. Show that the lines $ AP$, $ BD$, $ CE$ meet at a point.",['geometry']
3488,Let $ABCDEF$ be a convex hexagon such that $\angle B+\angle D+\angle F=360^{\circ }$ and \[ \frac{AB}{BC} \cdot \frac{CD}{DE} \cdot \frac{EF}{FA} = 1.  \] Prove that \[ \frac{BC}{CA} \cdot \frac{AE}{EF} \cdot \frac{FD}{DB} = 1.  \],['geometry']
3555,Let $O$ be the circumcenter and $H$ the orthocenter of an acute-angled triangle $ABC$ such that $BC&gt;CA$. Let $F$ be the foot of the altitude $CH$ of triangle $ABC$. The perpendicular to the line $OF$ at the point $F$ intersects the line $AC$ at $P$. Prove that $\measuredangle FHP=\measuredangle BAC$.,['geometry']
3845,"Find all pairs $ (a,b)$ of positive integers that satisfy the equation: $ a^{b^2} = b^a$.",['number theory']
4038,"A non-isosceles triangle $A_{1}A_{2}A_{3}$ has sides $a_{1}$, $a_{2}$, $a_{3}$ with the side $a_{i}$ lying opposite to the vertex $A_{i}$. Let $M_{i}$ be the midpoint of the side $a_{i}$, and let $T_{i}$ be the point where the inscribed circle of triangle $A_{1}A_{2}A_{3}$ touches the side $a_{i}$. Denote by $S_{i}$ the reflection of the point $T_{i}$ in the interior angle bisector of the angle $A_{i}$. Prove that the lines $M_{1}S_{1}$, $M_{2}S_{2}$ and $M_{3}S_{3}$ are concurrent.",['geometry']
4132,"Let $ABC$ be a triangle. Let $P$, $Q$, $R$ be the points of intersection of the angle bisectors of its angles $\angle A$, $\angle B$, $\angle C$ with the sides $\left[BC\right]$, $\left[CA\right]$, $\left[AB\right]$ respectively. Prove that $\measuredangle RPQ = 90^{\circ}$ if and only if $\measuredangle CAB = 120^{\circ}$.",['geometry']
4693,"Given 2n+3 points in the plane, no three on a line and no four on a circle, prove that it is always possible to find a circle C that goes through three of the given points and splits the other 2n in half, that is, has n on the inside and n on the outside.",['combinatorics']
4701,Each vertex of the 3-dimensional Euclidean space either is coloured red or blue. Prove that within those squares being possible in this space with edge length 1 there is at least one square either with three red vertices or four blue vertices !,"['combinatorics', 'geometry']"
6343,"For any positive integer $ n&gt;1$, let $ P\left(n\right)$ denote the largest prime divisor of $ n$. Prove that there exist infinitely many positive integers $ n$ for which
\[ P\left(n\right)&lt;P\left(n+1\right)&lt;P\left(n+2\right).\]",['number theory']
6413,"Find all ordered pairs $ (m,n)$ where $ m$ and $ n$ are positive integers such that $ \frac {n^3 + 1}{mn - 1}$ is an integer.",['number theory']
6460,"The two polynomials $(x) =x^4+ax^3+bx^2+cx+d$ and $Q(x) = x^2+px+q$ take negative values on an interval $I$ of length greater than $2$, and nonnegative values outside of $I$.  Prove that there exists $x_0 \in \mathbb R$ such that $P(x_0) &lt; Q(x_0)$.",['algebra']
7030,"Given is a triangle $ABC$, the inscribed circle $G$ of which has radius $r$. Let $r_a$ be the radius of the circle touching $AB$, $AC$ and $G$. [This circle lies inside triangle $ABC$.] Define $r_b$ and $r_c$ similarly. Prove that $r_a + r_b + r_c \geq r$ and find all cases in which equality occurs.
[i]Bosnia - Herzegovina Mathematical Olympiad 2002[/i]",['geometry']
7038,There are $n$ football teams in [i]Tumbolia[/i]. A championship is to be organised in which each team plays against every other team exactly once. Ever match takes place on a sunday and each team plays at most one match each sunday. Find the least possible positive integer $m_n$ for which it is possible to set up a championship lasting $m_n$ sundays.,['combinatorics']
9280,The graph of a function $f: \mathbb{R}\to\mathbb{R}$ has two has at least two centres of symmetry. Prove that $f$ can be represented as sum of a linear and periodic funtion.,"['algebra', 'geometry']"
9281,"The sequence $\{a_1,a_2,\ldots\}$ is recursively defined by  $a_1 = 1$, $a_2 = 1$, $a_3 = 2$, and \[ a_{n+3} = \frac 1{a_n}\cdot (a_{n+1}a_{n+2}+7), \ \forall \ n &gt; 0. \] Prove that all elements of the sequence are integers.",['algebra']
9282,"Let $p$ and $q$ be two positive integers that have no common divisor. The set of integers shall be partioned into three subsets $A$, $B$, $C$ such that for each integer $z$ in each of the sets $A$, $B$, $C$ there is exactly one of the numbers $z$, $z+p$ and $z+q$.
a) Prove that such a decomposition is possible if and only if $p+q$ is divisible by $3$.
b) In the case we omit the restriction that $p$, $q$ may not have a common divisor, prove that for $p \neq q$ the number $\frac{p+q}{\gcd(p,q)}$ is divisible by 3.",['number theory']
9315,"A square $ R$ of sidelength $ 250$ lies inside a square $ Q$ of sidelength $ 500$. Prove that: One can always find two points $ A$ and $ B$ on the perimeter of $ Q$ such that the segment $ AB$ has no common point with the square $ R$, and the length of this segment $ AB$ is greater than $ 521$.","['algebra', 'geometry']"
9316,"10 vertices of a regular 100-gon are coloured red and ten other (distinct) vertices are coloured blue. Prove that there is at least one connection edge (segment) of two red which is as long as the connection edge of two blue points.
HintPossible approaches are pigeon hole principle, proof by contradiction, consider turns (bijective congruent mappings) which maps red in blue points.","['combinatorics', 'geometry']"
9808,Let $ k$ be a positive integer. Show that there are infinitely many perfect squares of the form $ n \cdot 2^k - 7$ where $ n$ is a positive integer.,"['algebra', 'number theory']"
10996,"Let $ S = \{0,1,2,\ldots,1999\}$ and $ T = \{0,1,2,\ldots \}.$ Find all functions $ f: T \mapsto S$ such that
(i) $ f(s) = s \quad \forall s \in S.$
(ii) $ f(m+n) = f(f(m)+f(n)) \quad \forall m,n \in T.$",['algebra']
11019,"Let $ABC$ be a triangle, and let the tangent to the circumcircle of the triangle $ABC$ at $A$ meet the line $BC$ at $D$. The perpendicular to $BC$ at $B$ meets the perpendicular bisector of $AB$ at $E$. The perpendicular to $BC$ at $C$ meets the perpendicular bisector of $AC$ at $F$. Prove that the points $D$, $E$ and $F$ are collinear.
[i]Valentin Vornicu[/i]",['geometry']
11653,"Given a triangle $ABC$.
Let $M$ and $N$ be the points where the angle bisectors of the angles $ABC$ and $BCA$ intersect the sides $CA$ and $AB$, respectively.
Let $D$ be the point where the ray $MN$ intersects the circumcircle of triangle $ABC$.
Prove that $\frac{1}{BD}=\frac{1}{AD}+\frac{1}{CD}$.",['geometry']
11841,"Let $ABC$ be a triangle and let $P$ be a point in its interior. Lines $PA$, $PB$, $PC$ intersect sides $BC$, $CA$, $AB$ at $D$, $E$, $F$, respectively. Prove that
\[ [PAF]+[PBD]+[PCE]=\frac{1}{2}[ABC]  \]
if and only if $P$ lies on at least one of the medians of triangle $ABC$. (Here $[XYZ]$ denotes the area of triangle $XYZ$.)",['geometry']
12385,"Given an integer $ n\ge 2$ and a reular 2n-gon. Color all verices of the 2n-gon with n colors such that:
(i) Each vertice is colored by exactly one color.
(ii) Two vertices don't have the same color.
Two ways of coloring, satisfying the conditions above, are called equilavent if one obtained from the other by a rotation whose center is the center of polygon. Find the total number of mutually non-equivalent ways of coloring.
[i]Alternative statement:[/i]
In how many ways we can color vertices of an regular 2n-polygon using n different colors such that two adjent vertices are colored by different colors. Two colorings which can be received from each other by rotation are considered as the same.","['combinatorics', 'geometry']"
13581,Call two circles in three-dimensional space pairwise tangent at a point $ P$ if they both pass through $ P$ and lines tangent to each circle at $ P$ coincide. Three circles not all lying in a plane are pairwise tangent at three distinct points. Prove that there exists a sphere which passes through the three circles.,['geometry']
14027,"Let $ b, m, n$ be positive integers such that $ b &gt; 1$ and $ m \neq n.$ Prove that if $ b^m - 1$ and $ b^n - 1$ have the same prime divisors, then $ b + 1$ is a power of 2.",['number theory']
14179,"suppose this equation: x 2 +y 2 +z 2 =w 2   . show that the solution of this equation ( if w,z have same parity) are in this form:
x=2d(XZ-YW), y=2d(XW+YZ),z=d(X 2 +Y 2 -Z 2 -W 2 ),w=d(X 2 +Y 2 +Z 2 +W 2 )",['number theory']
14537,"assume ABCD a convex quadrilatral. P and Q are on BC and DC respectively such that angle BAP= angle DAQ .prove that [ADQ]=[ABP]
([ABC] means its area ) iff the line which crosses through the orthocenters of these traingles , is perpendicular to AC.",['geometry']
14707,Let $ABCD$ be a convex quadrilateral such that $\angle ABC = \angle ADC = 135^{\circ}$ and \[AC^2\cdot BD^2 = 2\cdot AB\cdot BC\cdot CD\cdot DA.\]Prove that the diagonals of the quadrilateral $ABCD$ are perpendicular.,['geometry']
14753,"assume that A is a finite subset of prime numbers, and a is an positive integer.
prove that there are only finitely many positive integers m s.t: prime divisors of a^m-1 are contained in A.",['number theory']
14758,n \geq 6 is an integer. evaluate the minimum of f(n) s.t: any graph with n vertices and f(n) edge contains two cycle which are distinct( also they have no comon vertice)?,['combinatorics']
15217,"Let $p$ be an odd prime number. Let $S$ be the sum of all primitive roots modulo $p$. Show that if $p-1$ isn't squarefree (i. e., if there exist integers $k$ and $m$ with $k&gt;1$ and $p-1=k^2m$), then $S \equiv 0 \mod p$.
If not, then what is $S$ congruent to $\mod p$ ?","['algebra', 'number theory']"
15291,"Let $ABC$ and $XYZ$ be two triangles. Define
\[A_1=BC\cap ZX, A_2=BC\cap XY,\]\[B_1=CA\cap XY, B_2=CA\cap YZ,\]\[C_1=AB\cap YZ, C_2=AB\cap ZX.\]
Hereby, the abbreviation $g\cap h$ means the point of intersection of two lines $g$ and $h$.
Prove that $\frac{C_1C_2}{AB}=\frac{A_1A_2}{BC}=\frac{B_1B_2}{CA}$ holds if and only if $\frac{A_1C_2}{XZ}=\frac{C_1B_2}{ZY}=\frac{B_1A_2}{YX}$.",['geometry']
15529,"XOY is angle in the plane.A,B are variable point on OX,OY such that 1/OA+1/OB=1/K (k is constant).draw two circles with diameter OA and OB.prove that common external  tangent to these circles is tangent to the constant circle( ditermine the  radius and the locus of its center).",['geometry']
15552,"here is the most difficult and the most beautiful problem occurs in 21th iranian (2003) olympiad
assume that P is n-gon ,lying on the plane ,we name its edge 1,2,..,n.
if S=s1,s2,s3,.... be a finite or infinite sequence such that  for each i, si is in {1,2,...,n},
we move P on the plane according to the S in this form: at first we reflect P through the s1
( s1 means the edge which iys number is s1)then through s2 and so on like the figure below.
a)show that there exist the infinite sequence S sucth that if we move P according to S we cover all the plane
b)prove that the sequence in a) isn't periodic.
c)assume that P is regular pentagon ,which the radius of its circumcircle is 1,and D is circle ,with radius 1.00001 ,arbitrarily in the plane .does exist a sequence S such that we move P according to S then P reside in D completely?",['geometry']
15795,"let the incircle of a triangle ABC touch BC,AC,AB at A1,B1,C1 respectively. M and N are the midpoints of AB1 and AC1 respectively. MN meets A1C1 at T . draw two tangents TP and TQ through T to incircle. PQ meets MN at L and B1C1 meets PQ at K . assume I is the center of the incircle .
prove IK is parallel to AL",['geometry']
15984,"For positive $a,b,c$, \[a^{2}+b^{2}+c^{2}+abc=4\] Prove $a+b+c \leq3$",['algebra']
15986,"$f_{1},f_{2},\dots,f_{n}$ are polynomials with integer coefficients. Prove there exist a reducible $g(x)$ with integer coefficients that $f_{1}+g,f_{2}+g,\dots,f_{n}+g$ are irreducible.","['algebra', 'number theory']"
16079,"$a_{0}=2,a_{1}=1$ and for $n\geq 1$ we know that : $a_{n+1}=a_{n}+a_{n-1}$
$m$ is an even number and $p$ is prime number such that $p$ divides $a_{m}-2$. Prove that $p$ divides $a_{m+1}-1$.",['number theory']
16260,"Find all continious $f: \mathbb R\longrightarrow\mathbb R$ that for any $x,y$ \[f(x)+f(y)+f(xy)=f(x+y+xy)\]",['algebra']
16261,$a_{n}$ ($n$ is integer) is a sequence from positive reals that \[a_{n}\geq \frac{a_{n+2}+a_{n+1}+a_{n-1}+a_{n-2}}4\] Prove $a_{n}$ is constant.,"['algebra', 'geometry']"
16262,"In triangle $ABC$, $AD$ is angle bisector ($D$ is on $BC$) if $AB+AD=CD$ and $AC+AD=BC$, what are the angles of $ABC$?",['geometry']
16264,"Circles $C_{1}$ and $C_{2}$ are tangent to each other at $K$ and are tangent to circle $C$ at $M$ and $N$. External tangent of $C_{1}$ and $C_{2}$ intersect $C$ at $A$ and $B$. $AK$ and $BK$  intersect with circle $C$ at $E$ and $F$ respectively. If AB is diameter of $C$, prove that $EF$ and $MN$ and $OK$ are concurrent. ($O$ is center of circle $C$.)",['geometry']
16265,"$A,B,C$ are on circle $\mathcal C$. $I$ is incenter of $ABC$ , $D$ is midpoint of arc $BAC$. $W$ is a circle that is tangent to $AB$ and $AC$ and tangent to $\mathcal C$ at $P$. ($W$ is in $\mathcal C$)
Prove that $P$ and $I$ and $D$ are on a line.",['geometry']
16477,"Let $ ABC$ be a triangle, and let $ P$, $ Q$, $ R$ be three points in the interiors of the sides $ BC$, $ CA$, $ AB$ of this triangle. Prove that the area of at least one of the three triangles $ AQR$, $ BRP$, $ CPQ$ is less than or equal to one quarter of the area of triangle $ ABC$.
[i]Alternative formulation:[/i] Let $ ABC$ be a triangle, and let $ P$, $ Q$, $ R$ be three points on the segments $ BC$, $ CA$, $ AB$, respectively. Prove that
$ \min\left\{\left|AQR\right|,\left|BRP\right|,\left|CPQ\right|\right\}\leq\frac14\cdot\left|ABC\right|$,
where the abbreviation $ \left|P_1P_2P_3\right|$ denotes the (non-directed) area of an arbitrary triangle $ P_1P_2P_3$.",['geometry']
17163,"A rectangle $ABCD$ has side lengths $AB = m$, $AD = n$, with $m$ and $n$ relatively prime and both odd. It is divided into unit squares and the diagonal AC intersects the sides of the unit squares at the points $A_1 = A, A_2, A_3, \ldots , A_k = C$. Show that \[ A_1A_2 - A_2A_3 + A_3A_4 - \cdots + A_{k-1}A_k = {\sqrt{m^2+n^2}\over mn}.  \]","['combinatorics', 'geometry', 'number theory']"
17397,"Let $a, b, c &gt; 0$. Prove that $(a^5 - a^2 + 3)(b^5 - b^2 + 3)(c^5 - c^2 + 3) \geq (a + b + c)^3$.",['algebra']
17437,"A circle $\omega$ is inscribed in a quadrilateral $ABCD$. Let $I$ be the center of $\omega$. Suppose that \[
(AI + DI)^2 + (BI + CI)^2 = (AB + CD)^2.
\] Prove that $ABCD$ is an isosceles trapezoid.",['geometry']
17438,"Alice and Bob play a game on a 6 by 6 grid.  On his or her turn, a player chooses a rational number not yet appearing in the grid and writes it in an empty square of the grid.  Alice goes first and then the players alternate.  When all squares have numbers written in them, in each row, the square with the greatest number in that row is colored black.  Alice wins if she can then draw a line from the top of the grid to the bottom of the grid that stays in black squares, and Bob wins if she can't.  (If two squares share a vertex, Alice can draw a line from one to the other that stays in those two squares.)  Find, with proof, a winning strategy for one of the players.",['combinatorics']
17439,"Let $ABCD$ be a quadrilateral circumscribed about a circle, whose interior and exterior angles are at least 60 degrees. Prove that
\[
\frac{1}{3}|AB^3 - AD^3| \le |BC^3 - CD^3| \le 3|AB^3 - AD^3|.
\]
When does equality hold?",['geometry']
17440,"Suppose $a_1, \dots, a_n$ are integers whose greatest common divisor is 1. Let $S$ be a set of integers with the following properties:
(a) For $i=1, \dots, n$, $a_i \in S$.
(b) For $i,j = 1, \dots, n$ (not necessarily distinct), $a_i - a_j \in S$.
(c) For any integers $x,y \in S$, if $x+y \in S$, then $x-y \in S$.
Prove that $S$ must be equal to the set of all integers.",['number theory']
17441,"For what real values of $k&gt;0$ is it possible to dissect a $1 \times k$ rectangle into two similar, but noncongruent, polygons?",['geometry']
17450,A parallelepiped is cut by a plane along a 6-gon. Supposed this 6-gon can be put into a certain rectangle $ \pi$ (which means one can put the rectangle $ \pi$ on the parallelepiped's plane such that the 6-gon is completely covered by the rectangle). Show that one also can put one of the parallelepiped' faces into the rectangle $ \pi.$,['geometry']
17451,Is there a natural number  $ n &gt; 10^{1000}$ which is not divisible by 10 and which satisfies: in its decimal representation one can exchange two distinct non-zero digits such that the set of prime divisors does not change.,['number theory']
17608,"Two circles intersect at two points $A$ and $B$. A line $\ell$ which passes through the point $A$ meets the two circles again at the points $C$ and $D$, respectively. Let $M$ and $N$ be the midpoints of the arcs $BC$ and $BD$ (which do not contain the point $A$) on the respective circles. Let $K$ be the midpoint of the segment $CD$. Prove that $\measuredangle MKN = 90^{\circ}$.",['geometry']
17637,"Find all one-to-one mappings $f:\mathbb{N}\to\mathbb{N}$ such that for all positive integers $n$ the following relation holds:
\[ f(f(n)) \leq \frac {n+f(n)} 2 . \]",['algebra']
17639,"A circular disk is partitioned into $ 2n$ equal sectors by $ n$ straight lines through its center. Then, these $ 2n$ sectors are colored in such a way that exactly $ n$ of the sectors are colored in blue, and the other $ n$ sectors are colored in red. We number the red sectors with numbers from $ 1$ to $ n$ in counter-clockwise direction (starting at some of these red sectors), and then we number the blue sectors with numbers from $ 1$ to $ n$ in clockwise direction (starting at some of these blue sectors).
Prove that one can find a half-disk which contains sectors numbered with all the numbers from $ 1$ to $ n$ (in some order). (In other words, prove that one can find $ n$ consecutive sectors which are numbered by all numbers $ 1$, $ 2$, ..., $ n$ in some order.)
Problem 8 from CWMO 2007$ n$ white and $ n$ black balls are placed at random on the circumference of a circle.Starting from a certain white ball,number all white balls in a clockwise direction by $ 1,2,\dots,n$. Likewise number all black balls by $ 1,2,\dots,n$ in anti-clockwise direction starting from a certain black ball.Prove that there exists a chain of $ n$ balls whose collection of numbering forms the set $ \{1,2,3\dots,n\}$.","['combinatorics', 'geometry']"
17643,"Find all positive integers $n$ for which there exist distinct positive integers $a_1,a_2,\ldots,a_n$ such that
\[ \frac 1{a_1} + \frac 2{a_2} + \cdots + \frac n { a_n} = \frac { a_1 + a_2 + \cdots + a_n } n. \]",['number theory']
17650,"Let $V$ be a point in the exterior of a circle of center $O$, and let $T_1,T_2$ be the points where the tangents from $V$ touch the circle. Let $T$ be an arbitrary point on the small arc $T_1T_2$. The tangent in $T$ at the circle intersects the line $VT_1$ in $A$, and the lines $TT_1$ and $VT_2$ intersect in $B$. We denote by $M$ the intersection of the lines $TT_1$ and $AT_2$.
Prove that the lines $OM$ and $AB$ are perpendicular.",['geometry']
17651,"Let $ABC$ be a triangle, having no right angles, and let $D$ be a point on the side $BC$. Let $E$ and $F$ be the feet of the perpendiculars drawn from the point $D$ to the lines $AB$ and $AC$ respectively. Let $P$ be the point of intersection of the lines $BF$ and $CE$. Prove that the line $AP$ is the altitude of the triangle $ABC$ from the vertex $A$ if and only if the line $AD$ is the angle bisector of the angle $CAB$.",['geometry']
17793,"One considers the positive integers $a &lt; b \leq c &lt; d $ such that $ad=bc$ and $\sqrt d  - \sqrt a \leq 1 $.
Prove that $a$ is a perfect square.",['algebra']
17839,"Each grid point of a cartesian plane is colored with one of three colors, whereby all three colors are used. Show that one can always find a right-angled triangle, whose three vertices have pairwise different colors.","['combinatorics', 'geometry']"
17842,"Let $ABCD$ be a circumscribed quadrilateral (i. e. a quadrilateral which has an incircle). The exterior angle bisectors of the angles $DAB$ and $ABC$ intersect each other at $K$; the exterior angle bisectors of the angles $ABC$ and $BCD$ intersect each other at $L$; the exterior angle bisectors of the angles $BCD$ and $CDA$ intersect each other at $M$; the exterior angle bisectors of the angles $CDA$ and $DAB$ intersect each other at $N$. Let $K_{1}$, $L_{1}$, $M_{1}$ and $N_{1}$ be the orthocenters of the triangles $ABK$, $BCL$, $CDM$ and $DAN$, respectively. Show that the quadrilateral $K_{1}L_{1}M_{1}N_{1}$ is a parallelogram.",['geometry']
17843,"On a table there are 2004 boxes, and in each box a ball lies. I know that some the balls are white and that the number of white balls is even. In each case I may point to two arbitrary boxes and ask whether in the box contains at least a white ball lies. After which minimum number of questions I can indicate two boxes for sure, in which white balls lie?",['combinatorics']
17846,"Are there such pairwise distinct natural numbers $ m, n, p, q$ satisfying $ m + n = p + q$ and $ \sqrt{m} + \sqrt[3]{n} = \sqrt{p} + \sqrt[3]{q} &gt; 2004$ ?","['geometry', 'number theory']"
17847,"In the cabinet 2004 telephones are located; each two of these telephones are connected by a cable, which is colored in one of four colors. From each color there is one cable at least. Can one always select several telephones in such a way that among their pairwise cable connections exactly 3 different colors occur?",['combinatorics']
17848,"The natural numbers from 1 to 100 are arranged on a circle with the characteristic that each number is either larger as their two neighbours or smaller than their two neighbours. A pair of neighbouring numbers is called ""good"", if you cancel such a pair, the above property remains still valid. What is the smallest possible number of good pairs?",['combinatorics']
17849,"Let $O$ be the circumcenter of an acute-angled triangle $ABC$, let $T$ be the circumcenter of the triangle $AOC$, and let $M$ be the midpoint of the segment $AC$. We take a point $D$ on the side $AB$ and a point $E$ on the side $BC$ that satisfy $\angle BDM = \angle BEM = \angle ABC$. Show that the straight lines $BT$ and $DE$ are perpendicular.",['geometry']
17850,"Let $ ABCD$ be a quadrilateral which is a cyclic quadrilateral and a tangent quadrilateral simultaneously. (By a [i]tangent quadrilateral[/i], we mean a quadrilateral that has an incircle.)
Let the incircle of the quadrilateral $ ABCD$ touch its sides $ AB$, $ BC$, $ CD$, and $ DA$ in the points $ K$, $ L$, $ M$, and $ N$, respectively. The exterior angle bisectors of the angles $ DAB$ and $ ABC$ intersect each other at a point $ K^{\prime}$. The exterior angle bisectors of the angles $ ABC$ and $ BCD$ intersect each other at a point $ L^{\prime}$. The exterior angle bisectors of the angles $ BCD$ and $ CDA$ intersect each other at a point $ M^{\prime}$. The exterior angle bisectors of the angles $ CDA$ and $ DAB$ intersect each other at a point $ N^{\prime}$. Prove that the straight lines $ KK^{\prime}$, $ LL^{\prime}$, $ MM^{\prime}$, and $ NN^{\prime}$ are concurrent.",['geometry']
